40
69
 5  30   8   8
29  30   4   2
 8  30   8   9
 8  32   6   1
31  32   4   7
28  29   3   7
28  31   5   8
 5  28   5   5
 5  26   7   9
 5  14   7   3
14  28   6   0
12  31   6   6
32  34   5   0
26  27   4   5
14  27   4   4
15  27   5   5
25  26   5   7
14  15   4   3
13  14   2   0
12  13   5   6
 0  13   5   8
12  33   5   1
33  34   4   8
 1  34   6   2
 1   2  14   1
 1   6   9   2
 6  33   4   8
 0  12   4   9
11  12   4   1
 0  11   3   8
 7  11   4   2
 0  10   3   5
10  15   5   6
15  25   4   3
10  22   4   1
22  25   5   5
 7  10   5   9
 6   7   5   7
 6  16   6   2
 2  16   6   7
 2  17   5   7
 7  19   6   7
17  19   4   3
17  18   3   3
18  19   5   1
 3  18   8   1
 3  19   5   1
 3  20   5   0
 7   9   4   9
 9  20   5   6
 9  21   6  4
 4  20   9   7
 4  21   6   8
 4  23   5   6
21  23   5   3
21  22   4   8
23  24   4   3
24  25   5   8
 7  39   4   4
19  39   5   8
16  39   5   7
16  38   3   1
 6  38   6   0
32  36   4   5
34  35   3   0
35  36   5   5
36  37   7   5
35  37   5   6
 1  37   7   9
100
75
410
445
