24
39
14  15   8   0
15  16   4   7
14  18   4   1
17  18   3   7
16  17   4   5
 1  16   3   1
 0   1   4   8
 1   2   4   1
 0   2   6   1
 2   5   7   6
17  19   3   6
 0  19   4   9
 0   3   3   1
 0   8   4   3
 9  19   3   4
 3   4   2   7
 3   6   4   4
 4   5   3   5
 5   6   5   8
 6   7   5   7
 7   8   3   1
 7  10   4   2
 9  10   4   3
 8   9   3   6
 9  13   4   6
13  14   3   6
12  14   6   5
12  13   3   3
11  12   2   1
10  11   3   3
10  13   5   0
 6  20   4   1
 5  20   4   3
 2  21   4   5
16  23   3   6
 1  23   3   6
22  23   5   3
 2  22   3   4
 1  22   3   9
100
25
199
228
