56
79
1 3 10 0
1 7 45 45
1 18 55 55
2 46 30 30
2 3 45 0
2 18 50 50
4 5 20 20
5 6 20 0
5 41 10 10
6 9 60 60
6 22 35 35
7 8 60 60
8 9 20 0
8 19 85 85
9 17 70 70
10 29 40 0
10 11 115 0
11 13 35 0
12 53 5 5
12 14 55 55
12 13 35 35
14 54 40 40
14 15 100 100
14 25 55 55
15 54 100 100
15 16 30 30
16 20 25 25
16 17 55 55
17 22 35 35
17 23 60 60
18 19 85 85
19 20 35 35
0 48 150 150
0 21 55 55
0 20 20 20
20 50 220 220
21 43 115 115
21 44 95 95
22 39 25 25
23 34 40 40
23 24 20 20
24 25 25 25
25 34 55 55
25 26 15 15
26 27 10 10
26 28 35 35
27 33 30 30
27 31 35 35
28 30 40 40
28 29 30 30
30 31 20 20
30 32 40 40
31 33 15 15
32 33 20 20
32 36 40 40
33 35 45 45
34 39 40 40
34 35 20 20
35 38 30 30
35 36 20 20
36 37 30 30
37 38 20 20
37 40 15 15
38 39 20 20
39 41 15 15
40 41 25 25
42 43 5 5
42 46 45 45
43 45 40 0
44 47 50 50
44 45 50 0
47 48 40 0
48 55 70 0
49 51 45 45
49 50 10 10
50 55 10 0
51 52 75 75
52 54 50 0
53 54 20 0
100
300
5365
5365
