41
69
0 1 1 2
0 6 5 15
1 2 1 2
1 7 10 20
2 3 7 15
2 8 1 1
3 4 1 2
3 9 3 7
4 5 6 13
4 10 4 8
5 11 3 8
6 7 2 3
6 12 7 14
7 8 2 3
8 9 3 6
8 13 5 10
9 10 4 7
9 14 1 3
10 11 5 9
10 15 6 12
10 16 2 4
12 13 8 16
12 22 7 14
13 14 3 8
13 22 3 7
13 23 4 13
14 15 3 6
14 24 9 19
15 16 9 15
15 18 1 2
16 17 4 7
16 19 2 4
17 21 6 14
18 19 3 4
18 25 8 10
19 20 5 10
19 26 5 8
20 21 4 9
20 26 1 3
21 27 5 12
22 23 3 4
22 28 5 14
23 24 4 7
23 29 8 12
24 25 6 9
24 30 7 11
25 26 7 11
25 31 7 13
26 27 7 13
26 31 3 8
26 32 5 9
28 29 3 6
28 33 14 17
29 30 12 19
30 31 5 9
30 34 4 7
31 35 10 13
32 36 2 4
33 34 2 4
33 37 7 12
34 35 8 12
34 38 10 14
35 36 8 12
35 38 3 9
35 39 4 7
36 40 5 9
37 38 9 10
38 39 2 3
39 40 4 4
4
170
412
412
