24
39
14  15   8   0
15  16   4   0
14  18   4   0
17  18   3   0
16  17   4   0
 1  16   3   9
 0   1   4   0
 1   2   4   8
 0   2   6  22
 2   5   7  20
17  19   3   2
 0  19   4   0
 0   3   3   9
 0   8   4   8
 9  19   3   6
 3   4   2   6
 3   6   4   4
 4   5   3   8
 5   6   5  13
 6   7   5   4
 7   8   3   3
 7  10   4   3
 9  10   4   3
 8   9   3   4
 9  13   4   8
13  14   3   8
12  14   6  21
12  13   3   6
11  12   2   0
10  11   3   4
10  13   5   0
 6  20   4   0
 5  20   4   3
 2  21   4   6
16  23   3   4
 1  23   3  11
22  23   5  16
 2  22   3   2
 1  22   3   0
100
25
199
235
