27
43
 1   2   3   2
 2   8  12   6
 2   4   4   0
 2   3   6   3
 8   9   5   3
 4   7   5   6
 7  11   5   5
 4   5   3   0
 3   5   5   1
 3   6   6   1
 5   6   5   5
 6  13   7   0
11  12   6   1
11  10   5   9
 9  10   6   0
 9  26   3   3
 9  25   7   6
25  26   5   2
24  26   4   4
10  24   6   1
 0  10   8   2
23  24   3   6
22  25   6   0
22  23   5   4
21  23   4   1
21  22   6   6
 0  21   5   0
 0  12   6   3
12  13   6   6
13  14   2   1
14  16   5   0
 0  16   6   0
 0  20   3   4
16  20   4   5
16  17   3   7
17  20   4   9
20  21   5   2
15  17   4   3
15  18  11   4
17  19   4   7
18  19   6   5
18  22   10  3
19  21   6   4
100
50
241
260
