83
118
1 4 50 0
1 2 10 0
2 21 25 0
3 4 60 0
3 5 70 70
3 76 10 0
4 15 80 80
5 6 5 5
5 48 50 50
6 14 20 20
6 41 35 35
7 13 20 20
7 8 25 25
7 12 30 30
7 40 30 30
8 9 10 10
8 39 35 35
9 10 20 20
9 36 45 45
10 12 35 35
10 11 50 50
11 17 70 0
11 82 60 60
12 13 45 0
13 14 50 0
14 15 10 10
16 17 5 0
16 18 5 0
18 20 30 0
19 20 30 0
19 21 15 0
22 24 15 15
22 74 5 5
23 28 15 15
23 27 25 25
23 26 25 25
24 25 15 15
25 29 5 0
25 31 35 35
26 27 25 0
26 29 65 0
26 32 20 20
28 34 5 5
28 33 20 20
30 51 30 0
30 52 25 0
31 37 40 40
32 38 60 60
33 62 40 40
34 61 5 5
35 82 5 5
35 81 10 10
35 36 5 5
36 37 75 75
37 73 60 60
37 38 10 10
37 39 35 35
38 69 70 70
39 40 35 35
40 41 65 65
41 42 50 50
42 65 25 25
42 43 25 25
0 40 40 40
0 69 20 20
43 64 5 5
43 44 5 5
44 72 5 5
44 66 10 10
44 45 55 55
45 46 10 10
45 48 55 55
46 50 30 30
46 47 30 30
47 78 30 30
47 48 50 50
48 79 50 50
49 51 40 0
49 78 45 45
50 63 50 50
50 60 90 90
51 54 40 40
52 53 30 30
53 54 10 10
53 56 20 20
54 59 15 15
55 56 20 20
56 58 15 15
56 57 25 25
58 59 10 10
58 61 90 90
59 60 15 15
60 63 60 60
61 66 80 80
62 67 20 20
62 68 25 25
63 66 15 15
64 65 10 10
64 72 5 5
65 71 5 5
66 67 10 10
67 72 10 10
67 68 15 15
68 70 5 5
68 69 10 10
69 70 10 10
70 71 5 5
71 72 10 10
73 74 50 50
73 81 65 0
75 79 30 30
75 76 30 0
75 80 60 0
76 79 30 30
77 78 10 10
77 79 115 115
77 80 70 0
81 82 10 0
100
600
3745
3745
