49
73
1 42 15 0
1 2 55 0
2 5 50 0
2 18 45 0
3 4 40 40
4 5 30 30
4 7 50 50
4 6 50 50
6 11 95 0
7 17 60 60
7 9 50 50
7 8 20 20
8 9 30 30
8 10 100 100
9 15 40 40
10 12 55 55
10 43 60 60
10 11 50 50
12 14 40 40
12 43 70 70
13 44 60 60
13 14 15 15
13 25 10 10
13 23 15 15
14 15 20 20
14 25 10 10
15 16 15 15
15 26 10 10
16 17 60 60
16 26 10 10
17 18 15 15
17 19 75 75
19 32 90 90
19 33 65 65
19 20 5 5
20 27 55 55
20 21 45 45
21 22 20 20
21 24 20 20
22 27 45 45
22 23 10 10
22 24 15 15
23 24 15 15
0 23 25 25
0 28 45 45
24 25 10 10
25 26 10 10
27 34 55 55
27 28 50 50
28 29 40 40
29 30 40 40
29 31 20 20
30 34 50 50
30 35 60 60
31 47 55 55
31 48 65 65
32 38 5 0
32 39 30 0
33 34 50 50
33 36 10 0
34 35 30 0
35 36 60 0
36 37 50 0
37 38 5 0
39 40 60 0
40 41 5 0
41 42 25 0
43 46 90 0
44 45 20 0
44 46 20 0
45 48 35 0
45 46 10 0
47 48 70 0
100
600
2855
2855
