78
110
1 3 40 40
1 77 60 60
1 60 25 25
2 3 10 10
2 8 10 0
3 4 5 5
4 6 5 5
4 64 5 5
5 10 30 0
5 52 70 70
6 7 25 0
6 64 5 5
7 66 15 0
7 9 5 0
8 9 5 0
10 65 30 0
11 15 25 25
11 14 120 0
11 19 25 25
12 13 40 0
12 52 125 125
13 14 10 0
15 19 10 0
15 20 20 0
16 51 30 30
16 74 15 15
17 18 20 20
17 51 5 5
18 21 15 15
19 38 5 5
19 37 15 15
20 22 5 0
20 32 10 10
21 25 10 0
21 26 10 10
22 23 10 0
23 24 5 0
24 25 5 0
26 27 5 5
26 50 25 25
27 28 5 5
27 33 15 15
28 29 5 5
28 34 15 15
29 30 5 5
29 46 25 25
30 31 15 15
30 35 5 5
31 32 5 5
31 36 20 20
32 37 5 5
33 34 5 5
33 49 15 15
34 47 15 15
34 48 15 15
35 36 20 20
35 44 20 20
36 41 20 20
37 40 35 35
38 39 35 35
38 40 25 25
39 40 35 35
40 41 10 10
41 42 10 10
42 43 30 30
42 52 70 70
43 44 20 20
43 56 70 70
44 45 20 20
44 53 50 50
45 46 5 5
45 53 70 70
46 47 5 5
46 75 40 40
47 48 15 15
48 49 20 20
48 67 20 20
49 50 5 5
50 51 10 10
52 56 80 80
53 57 30 30
53 58 25 25
54 55 30 30
54 60 30 30
54 62 20 20
55 57 30 30
0 55 15 15
0 56 10 10
56 57 15 15
57 58 20 20
58 71 30 30
59 72 35 35
60 71 70 70
60 61 20 20
61 63 20 20
62 63 25 25
63 64 10 10
65 66 80 0
67 74 45 45
67 75 45 45
67 69 40 0
68 74 40 40
68 72 5 5
68 76 40 0
69 70 80 80
69 76 20 0
70 71 50 50
70 75 40 40
71 77 80 0
72 73 20 20
100
300
3835
3835
