40
69
 5  30   8   0
29  30   4   0
 8  30   8  16
 8  32   6   0
31  32   4   0
28  29   3   8
28  31   5   5
 5  28   5  15
 5  26   7   0
 5  14   7   6
14  28   6  10
12  31   6   0
32  34   5   4
26  27   4   3
14  27   4  12
15  27   5   0
25  26   5   0
14  15   4   3
13  14   2   4
12  13   5   4
 0  13   5   0
12  33   5  16
33  34   4   0
 1  34   6   5
 1   2  14  13
 1   6   9  25
 6  33   4   8
 0  12   4  10
11  12   4 16
 0  11   3  8
 7  11   4   6
 0  10   3   2
10  15   5  10
15  25   4  10
10  22   4   0
22  25   5   8
 7  10   5   4
 6   7   5  15
 6  16   6   5
 2  16   6   0
 2  17   5   5
 7  19   6   5
17  19   4  16
17  18   3   3
18  19   5  10
 3  18   8   0
 3  19   5  10
 3  20   5  10
 7   9   4   7
 9  20   5  20
 9  21   6  24
 4  20   9   8
 4  21   6  11
 4  23   5   4
21  23   5   0
21  22   4   3
23  24   4   3
24  25   5  16
 7  39   4  12
19  39   5   8
16  39   5  12
16  38   3   8
 6  38   6  21
32  36   4   3
34  35   3   4
35  36   5   0
36  37   7   0
35  37   5  10
 1  37   7  21
100
75
376
421
